File,Size
csm_rand_145.c.out,7923
csm_rand_928.c.out,7858
csm_rand_814.c.out,7787
csm_rand_677.c.out,7738
csm_rand_462.c.out,7674
csm_rand_605.c.out,7507
csm_rand_793.c.out,7395
csm_rand_432.c.out,7376
csm_rand_417.c.out,7371
csm_rand_458.c.out,7299
csm_rand_201.c.out,7252
csm_rand_862.c.out,7250
csm_rand_205.c.out,7222
csm_rand_775.c.out,7210
csm_rand_719.c.out,7186
csm_rand_599.c.out,7163
csm_rand_686.c.out,7135
csm_rand_20.c.out,6954
csm_rand_247.c.out,6755
csm_rand_465.c.out,6611
csm_rand_449.c.out,6586
csm_rand_492.c.out,6527
csm_rand_711.c.out,6434
csm_rand_621.c.out,6378
csm_rand_39.c.out,6358
csm_rand_616.c.out,6354
csm_rand_487.c.out,6158
csm_rand_505.c.out,6134
csm_rand_874.c.out,6058
csm_rand_420.c.out,5998
csm_rand_228.c.out,5990
csm_rand_295.c.out,5974
csm_rand_117.c.out,5965
csm_rand_889.c.out,5954
csm_rand_760.c.out,5826
csm_rand_204.c.out,5726
csm_rand_257.c.out,5666
csm_rand_467.c.out,5642
csm_rand_183.c.out,5636
csm_rand_980.c.out,5610
csm_rand_765.c.out,5565
csm_rand_652.c.out,5365
csm_rand_168.c.out,5246
csm_rand_650.c.out,4998
csm_rand_452.c.out,4950
csm_rand_886.c.out,4692
csm_rand_914.c.out,4671
csm_rand_319.c.out,4594
csm_rand_523.c.out,4490
csm_rand_931.c.out,4266
csm_rand_334.c.out,4252
csm_rand_992.c.out,4112
csm_rand_947.c.out,4028
csm_rand_850.c.out,4018
csm_rand_977.c.out,3995
csm_rand_305.c.out,3713
csm_rand_955.c.out,3707
csm_rand_973.c.out,3663
csm_rand_881.c.out,3518
csm_rand_229.c.out,3503
csm_rand_989.c.out,3448
csm_rand_69.c.out,3385
csm_rand_572.c.out,3384
csm_rand_351.c.out,3364
csm_rand_193.c.out,3353
csm_rand_136.c.out,3319
csm_rand_672.c.out,3318
csm_rand_476.c.out,3267
csm_rand_725.c.out,3174
csm_rand_904.c.out,3170
csm_rand_26.c.out,3111
csm_rand_899.c.out,3104
csm_rand_478.c.out,3092
csm_rand_474.c.out,3083
csm_rand_943.c.out,3074
